,Unnamed: 0,Player ID,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente,Partido,Edad,Genero,Jugador,Player_ID_new,Mail
0,0,1,48,16,13,0,79,20,86,7,2,C,13,32,18,19,6,D,1,<18,Femenino,Angelica,1,playerpadel01@gmail.com
1,1,2,29,25,4,88,71,71,92,8,4,B,6,35,47,20,19,R,1,<18,Femenino,Charlene,2,playerpadel01@gmail.com
2,2,3,44,28,10,65,55,20,4,9,0,B,14,32,21,9,23,D,1,<18,Femenino,Patricia,3,playerpadel01@gmail.com
3,3,4,5,25,15,29,88,10,41,1,4,C,15,30,48,8,23,R,1,<18,Masculino,Daniel,4,playerpadel01@gmail.com
4,4,5,16,17,1,2,49,37,6,8,3,A,18,20,14,4,22,D,1,<18,Masculino,Jeffrey,5,playerpadel01@gmail.com
5,5,6,44,21,7,20,11,71,41,7,2,C,5,26,0,7,25,R,1,<18,Masculino,Jake,6,playerpadel01@gmail.com
6,6,7,50,5,10,88,88,87,35,6,2,B,0,26,1,10,24,D,1,<18,Femenino,Samantha,7,playerpadel01@gmail.com
7,7,8,18,16,17,83,80,34,26,2,3,A,11,7,7,0,3,R,1,<18,Masculino,James,8,playerpadel01@gmail.com
8,8,9,41,22,2,48,59,13,57,1,0,C,17,36,21,20,6,D,1,<18,Masculino,Albert,9,playerpadel01@gmail.com
9,9,10,34,23,25,85,25,13,45,6,3,A,15,31,24,9,9,D,1,<18,Femenino,Kathleen,10,playerpadel01@gmail.com
10,10,11,45,17,0,84,77,9,65,4,0,A,11,25,1,0,25,R,1,<18,Masculino,Matthew,11,playerpadel01@gmail.com
11,11,11,25,7,10,61,40,11,24,5,1,B,12,1,50,6,14,D,1,<18,Masculino,Matthew,11,playerpadel01@gmail.com
12,12,12,50,8,15,96,35,37,72,3,2,A,7,11,8,13,11,D,1,<18,Masculino,Brandon,12,playerpadel01@gmail.com
13,13,13,4,5,17,37,22,33,26,1,0,C,0,21,8,4,0,D,1,<18,Femenino,Emily,13,playerpadel01@gmail.com
14,14,14,28,4,15,14,42,40,0,8,4,A,6,16,12,16,19,D,1,<18,Femenino,Kelly,14,playerpadel01@gmail.com
15,15,15,36,11,22,51,5,9,86,2,4,A,14,6,5,20,17,R,1,<18,Masculino,David,15,playerpadel01@gmail.com
16,16,16,19,24,9,78,68,16,73,6,2,C,12,3,29,5,24,R,1,<18,Femenino,Michelle,16,playerpadel01@gmail.com
17,17,17,48,28,17,45,42,16,41,7,3,B,12,36,14,15,15,D,1,<18,Femenino,Alicia,17,playerpadel01@gmail.com
18,18,18,20,27,5,24,24,66,51,1,3,B,8,31,50,10,4,R,1,<18,Masculino,Randy,18,playerpadel01@gmail.com
19,19,19,9,10,18,20,17,61,24,5,0,C,14,10,14,9,18,R,1,<18,Masculino,Bradley,19,playerpadel01@gmail.com
20,20,20,4,24,3,87,61,94,53,10,3,C,3,0,49,14,3,R,1,<18,Femenino,Jessica,20,playerpadel01@gmail.com
21,21,21,35,0,12,4,12,0,66,7,2,B,12,24,6,6,5,R,1,<18,Femenino,Rebecca,21,playerpadel01@gmail.com
